Run_Time,Target_Period,Params_A,Prob_A_00,Prob_A_01,Prob_A_02,Prob_A_03,Prob_A_04,Prob_A_05,Prob_A_06,Prob_A_07,Prob_A_08,Prob_A_09,Params_B,Prob_B_00,Prob_B_01,Prob_B_02,Prob_B_03,Prob_B_04,Prob_B_05,Prob_B_06,Prob_B_07,Prob_B_08,Prob_B_09,Params_C,Prob_C_00,Prob_C_01,Prob_C_02,Prob_C_03,Prob_C_04,Prob_C_05,Prob_C_06,Prob_C_07,Prob_C_08,Prob_C_09,Params_D,Prob_D_00,Prob_D_01,Prob_D_02,Prob_D_03,Prob_D_04,Prob_D_05,Prob_D_06,Prob_D_07,Prob_D_08,Prob_D_09
2026-03-02 20:13:48,2026050,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.1667,0.1833,0.1333,0.1500,0.0167,0.0333,0.1000,0.1167,0.0333,0.0667,{},0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,{},0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,{},0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-03-02 20:13:48,2026051,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.06666666666666667,0.06666666666666667,0.06666666666666667,0.11666666666666667,0.03333333333333333,0.13333333333333333,0.08333333333333333,0.13333333333333333,0.13333333333333333,0.16666666666666666,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-02 20:14:14,2026050,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.1667,0.1833,0.1333,0.1500,0.0167,0.0333,0.1000,0.1167,0.0333,0.0667,{},0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,{},0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,{},0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-03-02 20:14:14,2026051,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.06666666666666667,0.06666666666666667,0.06666666666666667,0.11666666666666667,0.03333333333333333,0.13333333333333333,0.08333333333333333,0.13333333333333333,0.13333333333333333,0.16666666666666666,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06 14:24:21,2026045,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0667,0.0500,0.2000,0.1167,0.0667,0.1167,0.1000,0.1000,0.1333,0.0500,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.2808,0.3003,0.2887,0.2983,0.2487,0.3127,0.2677,0.2696,0.3141,0.2872,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.5884,0.7129,0.5433,0.5843,0.6117,0.4514,0.5695,0.6386,0.7083,0.5434,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.1005,0.1008,0.0965,0.0989,0.0996,0.0948,0.1040,0.1020,0.1036,0.0993
2026-03-06 14:24:21,2026046,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0500,0.0667,0.1000,0.1000,0.0333,0.1167,0.0833,0.1833,0.1333,0.1333,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.2774,0.2935,0.2821,0.3182,0.2414,0.3097,0.2840,0.2791,0.3023,0.2752,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.6269,0.6966,0.6073,0.6570,0.5286,0.6884,0.6377,0.6636,0.6803,0.6135,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.1024,0.1007,0.0987,0.0968,0.1037,0.0980,0.0941,0.1058,0.1023,0.0976
2026-03-06 14:24:21,2026047,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.1000,0.0833,0.1667,0.1333,0.0500,0.0333,0.0667,0.1167,0.1333,0.1167,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.2736,0.2788,0.2926,0.3097,0.2684,0.3011,0.2530,0.2760,0.3009,0.3099,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.6179,0.5877,0.6486,0.6741,0.5618,0.6270,0.5854,0.7127,0.6815,0.6532,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.1033,0.0967,0.0990,0.1000,0.0986,0.0956,0.0968,0.1101,0.1006,0.0993
2026-03-06 14:24:21,2026048,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0333,0.1167,0.1167,0.1333,0.0500,0.1000,0.1333,0.1000,0.1167,0.1000,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.2843,0.2601,0.3159,0.2965,0.2906,0.2799,0.2841,0.2850,0.2742,0.3012,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.6515,0.5022,0.6599,0.6850,0.6292,0.6271,0.6668,0.6356,0.5942,0.6519,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.1018,0.0979,0.0943,0.1010,0.0994,0.0977,0.1027,0.1022,0.1000,0.1031
2026-03-06 14:24:21,2026049,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0500,0.0333,0.1833,0.1167,0.0833,0.1167,0.1000,0.1167,0.1500,0.0500,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.2956,0.2767,0.3085,0.3117,0.2957,0.2537,0.2859,0.2852,0.2643,0.2839,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.7090,0.5498,0.6413,0.6972,0.6697,0.5918,0.6365,0.7079,0.5483,0.6284,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.0998,0.0978,0.0940,0.1023,0.1041,0.1004,0.1015,0.0988,0.1011,0.1001
2026-03-06 14:24:21,2026050,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0833,0.1333,0.1500,0.1167,0.0500,0.0500,0.0667,0.0833,0.1333,0.1333,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.2874,0.2766,0.3091,0.3316,0.3316,0.2544,0.2597,0.2910,0.2561,0.2618,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.6746,0.5649,0.6204,0.7185,0.6976,0.4868,0.4546,0.6269,0.3978,0.5242,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.1051,0.1035,0.0982,0.0951,0.1058,0.0950,0.0977,0.1071,0.0986,0.0939
