排名,号码,F1_冷热度,F2_区域集中,F3_形态适应,F4_重号邻号,F5_遗漏压力,F6_尾数聚集,权重_F1,权重_F2,权重_F3,权重_F4,权重_F5,权重_F6,综合得分,是否上期开奖,目标期
1,73,5.0,3.06,4.5,5.0,1.0,4.8,1.0,1.0,1.0,1.0,1.0,1.0,23.36,✓,2026192
2,11,4.74,3.42,4.5,4.0,3.0,2.91,1.0,1.0,1.0,1.0,1.0,1.0,22.575,,2026192
3,69,4.8,3.06,3.5,4.0,3.0,4.2,1.0,1.0,1.0,1.0,1.0,1.0,22.564,,2026192
4,12,5.0,3.42,3.5,4.0,3.0,3.6,1.0,1.0,1.0,1.0,1.0,1.0,22.52,,2026192
5,25,4.68,2.88,3.5,4.0,3.0,4.4,1.0,1.0,1.0,1.0,1.0,1.0,22.457,,2026192
6,35,3.73,2.88,4.5,4.0,3.0,4.32,1.0,1.0,1.0,1.0,1.0,1.0,22.434,,2026192
7,45,4.49,2.64,4.5,5.0,1.0,4.8,1.0,1.0,1.0,1.0,1.0,1.0,22.427,✓,2026192
8,15,3.98,3.42,4.5,5.0,1.0,4.46,1.0,1.0,1.0,1.0,1.0,1.0,22.358,✓,2026192
9,33,5.0,2.88,4.5,4.0,3.0,2.88,1.0,1.0,1.0,1.0,1.0,1.0,22.26,,2026192
10,1,5.0,3.42,4.5,5.0,1.0,3.3,1.0,1.0,1.0,1.0,1.0,1.0,22.22,✓,2026192
11,27,4.37,2.88,4.5,4.0,3.0,3.2,1.0,1.0,1.0,1.0,1.0,1.0,21.947,,2026192
12,5,3.61,3.42,4.5,5.0,1.0,4.2,1.0,1.0,1.0,1.0,1.0,1.0,21.728,✓,2026192
13,2,5.0,3.42,3.5,5.0,1.0,3.75,1.0,1.0,1.0,1.0,1.0,1.0,21.67,✓,2026192
14,55,4.99,2.64,3.5,5.0,1.0,4.4,1.0,1.0,1.0,1.0,1.0,1.0,21.534,✓,2026192
15,23,4.55,2.88,4.5,5.0,1.0,3.4,1.0,1.0,1.0,1.0,1.0,1.0,21.331,✓,2026192
16,8,2.22,3.42,3.5,4.0,5.0,2.85,1.0,1.0,1.0,1.0,1.0,1.0,20.992,,2026192
17,57,3.41,2.64,3.5,4.0,3.0,4.4,1.0,1.0,1.0,1.0,1.0,1.0,20.951,,2026192
18,13,3.54,3.42,4.5,5.0,1.0,3.43,1.0,1.0,1.0,1.0,1.0,1.0,20.893,✓,2026192
19,9,3.67,3.42,4.5,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,20.591,,2026192
20,77,3.29,3.06,4.5,5.0,1.0,3.6,1.0,1.0,1.0,1.0,1.0,1.0,20.451,✓,2026192
21,42,5.0,2.64,3.5,5.0,1.0,3.3,1.0,1.0,1.0,1.0,1.0,1.0,20.44,✓,2026192
22,39,4.43,2.88,4.5,4.0,1.0,3.6,1.0,1.0,1.0,1.0,1.0,1.0,20.41,,2026192
23,3,3.73,3.42,4.5,4.0,1.0,3.6,1.0,1.0,1.0,1.0,1.0,1.0,20.248,,2026192
24,6,4.61,3.42,3.5,5.0,1.0,2.1,1.0,1.0,1.0,1.0,1.0,1.0,19.634,✓,2026192
25,21,2.85,2.88,4.5,4.0,3.0,2.4,1.0,1.0,1.0,1.0,1.0,1.0,19.628,,2026192
26,71,3.35,3.06,3.5,5.0,1.0,3.6,1.0,1.0,1.0,1.0,1.0,1.0,19.514,✓,2026192
27,48,1.84,2.64,3.5,4.0,4.5,3.0,1.0,1.0,1.0,1.0,1.0,1.0,19.475,,2026192
28,17,1.08,3.42,4.5,4.0,3.0,3.09,1.0,1.0,1.0,1.0,1.0,1.0,19.082,,2026192
29,37,3.42,2.88,3.5,5.0,1.0,3.12,1.0,1.0,1.0,1.0,1.0,1.0,18.918,✓,2026192
30,46,3.92,2.64,3.5,5.0,1.0,2.4,1.0,1.0,1.0,1.0,1.0,1.0,18.464,✓,2026192
