Run_Time,Target_Period,Params_A,Prob_A_01,Prob_A_02,Prob_A_03,Prob_A_04,Prob_A_05,Prob_A_06,Prob_A_07,Prob_A_08,Prob_A_09,Prob_A_10,Prob_A_11,Prob_A_12,Prob_A_13,Prob_A_14,Prob_A_15,Prob_A_16,Prob_A_17,Prob_A_18,Prob_A_19,Prob_A_20,Prob_A_21,Prob_A_22,Prob_A_23,Prob_A_24,Prob_A_25,Prob_A_26,Prob_A_27,Prob_A_28,Prob_A_29,Prob_A_30,Params_B,Prob_B_01,Prob_B_02,Prob_B_03,Prob_B_04,Prob_B_05,Prob_B_06,Prob_B_07,Prob_B_08,Prob_B_09,Prob_B_10,Prob_B_11,Prob_B_12,Prob_B_13,Prob_B_14,Prob_B_15,Prob_B_16,Prob_B_17,Prob_B_18,Prob_B_19,Prob_B_20,Prob_B_21,Prob_B_22,Prob_B_23,Prob_B_24,Prob_B_25,Prob_B_26,Prob_B_27,Prob_B_28,Prob_B_29,Prob_B_30,Params_C,Prob_C_01,Prob_C_02,Prob_C_03,Prob_C_04,Prob_C_05,Prob_C_06,Prob_C_07,Prob_C_08,Prob_C_09,Prob_C_10,Prob_C_11,Prob_C_12,Prob_C_13,Prob_C_14,Prob_C_15,Prob_C_16,Prob_C_17,Prob_C_18,Prob_C_19,Prob_C_20,Prob_C_21,Prob_C_22,Prob_C_23,Prob_C_24,Prob_C_25,Prob_C_26,Prob_C_27,Prob_C_28,Prob_C_29,Prob_C_30,Params_D,Prob_D_01,Prob_D_02,Prob_D_03,Prob_D_04,Prob_D_05,Prob_D_06,Prob_D_07,Prob_D_08,Prob_D_09,Prob_D_10,Prob_D_11,Prob_D_12,Prob_D_13,Prob_D_14,Prob_D_15,Prob_D_16,Prob_D_17,Prob_D_18,Prob_D_19,Prob_D_20,Prob_D_21,Prob_D_22,Prob_D_23,Prob_D_24,Prob_D_25,Prob_D_26,Prob_D_27,Prob_D_28,Prob_D_29,Prob_D_30
2026-03-06 13:46:36,2026014,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0437,0.0500,0.0375,0.0312,0.0437,0.0187,0.0437,0.0125,0.0375,0.0375,0.0375,0.0250,0.0312,0.0375,0.0375,0.0250,0.0250,0.0250,0.0187,0.0312,0.0312,0.0500,0.0375,0.0500,0.0250,0.0250,0.0250,0.0187,0.0375,0.0500,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.2795,0.2818,0.2644,0.2846,0.2545,0.2638,0.2654,0.2574,0.2663,0.2584,0.2496,0.2753,0.2543,0.2966,0.2649,0.2463,0.2712,0.2633,0.2325,0.2928,0.2669,0.2761,0.2543,0.2712,0.2564,0.2519,0.2592,0.2813,0.2912,0.2686,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.6533,0.3305,0.1503,0.5155,0.3736,0.4149,0.4359,0.6140,0.5873,0.2731,0.5241,0.3194,0.2704,0.6811,0.3495,0.2608,0.4288,0.5214,0.3576,0.6482,0.4138,0.7651,0.4271,0.3612,0.4860,0.3150,0.4221,0.7079,0.7121,0.4813,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.0337,0.0364,0.0310,0.0340,0.0325,0.0333,0.0344,0.0330,0.0339,0.0334,0.0317,0.0355,0.0338,0.0318,0.0298,0.0321,0.0306,0.0349,0.0322,0.0339,0.0365,0.0305,0.0357,0.0339,0.0342,0.0341,0.0349,0.0332,0.0335,0.0316
2026-03-06 13:46:36,2026015,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0312,0.0375,0.0250,0.0312,0.0312,0.0250,0.0437,0.0187,0.0500,0.0375,0.0375,0.0187,0.0500,0.0250,0.0437,0.0312,0.0375,0.0250,0.0187,0.0250,0.0250,0.0375,0.0250,0.0563,0.0250,0.0437,0.0375,0.0187,0.0500,0.0375,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.2726,0.2683,0.2624,0.2673,0.2474,0.2696,0.2682,0.2518,0.2632,0.2833,0.2687,0.2680,0.2866,0.2816,0.2540,0.2415,0.2437,0.2727,0.2493,0.2656,0.2675,0.2631,0.2517,0.2949,0.2635,0.2559,0.2644,0.2637,0.3089,0.2805,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.5627,0.6959,0.1819,0.5964,0.4960,0.5604,0.6315,0.5490,0.5267,0.6941,0.6178,0.4913,0.6706,0.6088,0.4140,0.3309,0.3491,0.6937,0.5864,0.5329,0.5916,0.7309,0.4005,0.7594,0.5647,0.4073,0.5715,0.5611,0.7708,0.6526,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.0338,0.0334,0.0306,0.0325,0.0344,0.0334,0.0342,0.0336,0.0346,0.0343,0.0317,0.0360,0.0320,0.0323,0.0303,0.0321,0.0307,0.0364,0.0322,0.0348,0.0352,0.0321,0.0349,0.0345,0.0349,0.0331,0.0337,0.0323,0.0344,0.0318
2026-03-06 13:46:36,2026016,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0187,0.0437,0.0125,0.0375,0.0375,0.0375,0.0250,0.0312,0.0187,0.0250,0.0375,0.0437,0.0375,0.0187,0.0500,0.0312,0.0250,0.0375,0.0250,0.0250,0.0500,0.0375,0.0375,0.0437,0.0312,0.0500,0.0688,0.0187,0.0187,0.0250,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.2781,0.2648,0.2639,0.2713,0.2552,0.2690,0.2888,0.2639,0.2517,0.2739,0.2642,0.2530,0.2671,0.2726,0.2626,0.2370,0.2520,0.2609,0.2686,0.2547,0.2768,0.2587,0.2700,0.2953,0.2682,0.2732,0.2874,0.2646,0.2812,0.2513,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.6702,0.3308,0.2406,0.4455,0.4766,0.3684,0.6858,0.4683,0.4065,0.5847,0.3956,0.2945,0.5515,0.5150,0.3309,0.2007,0.2123,0.4805,0.5571,0.4212,0.6305,0.3448,0.5337,0.6855,0.5471,0.4678,0.6836,0.5184,0.6537,0.2902,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.0336,0.0323,0.0318,0.0336,0.0342,0.0348,0.0342,0.0340,0.0333,0.0355,0.0312,0.0335,0.0351,0.0314,0.0311,0.0341,0.0302,0.0347,0.0339,0.0341,0.0356,0.0298,0.0334,0.0326,0.0362,0.0330,0.0359,0.0339,0.0330,0.0301
2026-03-06 13:46:36,2026017,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0437,0.0437,0.0187,0.0250,0.0437,0.0375,0.0375,0.0312,0.0125,0.0312,0.0312,0.0563,0.0187,0.0125,0.0187,0.0312,0.0500,0.0250,0.0250,0.0250,0.0563,0.0375,0.0625,0.0500,0.0563,0.0187,0.0375,0.0375,0.0125,0.0125,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.2456,0.2557,0.2660,0.2408,0.2603,0.2846,0.2764,0.2773,0.2567,0.2760,0.2774,0.2597,0.2539,0.2785,0.2696,0.2499,0.2721,0.2864,0.2668,0.2574,0.2916,0.2744,0.2728,0.2884,0.2801,0.2582,0.2769,0.2499,0.2515,0.2449,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.5327,0.5810,0.6459,0.5603,0.5638,0.6088,0.7730,0.7209,0.5366,0.5887,0.5709,0.6171,0.5875,0.6076,0.6468,0.5313,0.6173,0.6788,0.6603,0.4980,0.7698,0.6453,0.7185,0.7882,0.6918,0.5482,0.7545,0.5245,0.5774,0.6216,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.0345,0.0319,0.0329,0.0296,0.0376,0.0346,0.0339,0.0319,0.0318,0.0306,0.0315,0.0343,0.0345,0.0337,0.0336,0.0343,0.0309,0.0346,0.0344,0.0338,0.0343,0.0344,0.0342,0.0347,0.0348,0.0316,0.0322,0.0324,0.0330,0.0335
2026-03-06 13:46:36,2026018,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0375,0.0437,0.0250,0.0375,0.0563,0.0375,0.0250,0.0437,0.0187,0.0437,0.0250,0.0375,0.0375,0.0250,0.0312,0.0312,0.0187,0.0437,0.0312,0.0250,0.0375,0.0187,0.0437,0.0375,0.0312,0.0375,0.0250,0.0250,0.0250,0.0437,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.2751,0.2761,0.2660,0.2613,0.2598,0.2587,0.2721,0.2577,0.2551,0.2712,0.2806,0.2607,0.2707,0.2611,0.2559,0.2651,0.2797,0.2778,0.2657,0.2668,0.2827,0.2572,0.2654,0.2589,0.2495,0.2723,0.2842,0.2660,0.2619,0.2648,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.6969,0.6448,0.5452,0.6404,0.6038,0.5900,0.6655,0.6442,0.4861,0.5584,0.6490,0.5721,0.6806,0.5964,0.5849,0.6331,0.6327,0.6114,0.5633,0.6132,0.7656,0.5657,0.7110,0.6358,0.5135,0.6281,0.6934,0.5841,0.5883,0.7211,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.0334,0.0318,0.0310,0.0330,0.0327,0.0340,0.0336,0.0367,0.0340,0.0342,0.0331,0.0308,0.0339,0.0310,0.0317,0.0320,0.0305,0.0342,0.0327,0.0346,0.0362,0.0327,0.0352,0.0352,0.0370,0.0328,0.0318,0.0338,0.0339,0.0326
2026-03-06 13:46:36,2026019,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0125,0.0187,0.0375,0.0375,0.0375,0.0125,0.0437,0.0187,0.0375,0.0312,0.0437,0.0375,0.0375,0.0250,0.0437,0.0437,0.0312,0.0312,0.0187,0.0500,0.0312,0.0437,0.0563,0.0375,0.0125,0.0375,0.0437,0.0063,0.0437,0.0375,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.2688,0.2765,0.2809,0.2815,0.2617,0.2557,0.2713,0.2489,0.2694,0.2788,0.2660,0.2788,0.2557,0.2904,0.2570,0.2726,0.2770,0.2870,0.2497,0.2454,0.2583,0.2457,0.2637,0.2638,0.2739,0.2538,0.2691,0.2517,0.2701,0.2767,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.4913,0.5784,0.3948,0.5458,0.3471,0.5588,0.5514,0.2397,0.2745,0.6380,0.3262,0.5680,0.3557,0.7398,0.4910,0.4284,0.5347,0.6047,0.3168,0.2760,0.3940,0.3161,0.3693,0.3710,0.6704,0.2622,0.3770,0.4537,0.6038,0.4115,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.0301,0.0332,0.0330,0.0314,0.0350,0.0363,0.0329,0.0346,0.0323,0.0359,0.0338,0.0341,0.0334,0.0333,0.0303,0.0326,0.0324,0.0337,0.0336,0.0323,0.0338,0.0339,0.0340,0.0326,0.0381,0.0326,0.0319,0.0330,0.0339,0.0324
2026-03-06 13:46:36,2026020,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0437,0.0437,0.0437,0.0500,0.0312,0.0187,0.0312,0.0437,0.0250,0.0125,0.0437,0.0187,0.0312,0.0250,0.0250,0.0312,0.0375,0.0312,0.0250,0.0187,0.0375,0.0375,0.0437,0.0375,0.0187,0.0500,0.0187,0.0437,0.0437,0.0375,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.2712,0.2813,0.2583,0.2668,0.2545,0.2622,0.2849,0.2453,0.2696,0.2826,0.2833,0.2730,0.2625,0.2837,0.2510,0.2577,0.2729,0.2710,0.2474,0.2606,0.2612,0.2531,0.2519,0.2875,0.2828,0.2496,0.2640,0.2531,0.2803,0.2769,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.6490,0.7135,0.4927,0.6293,0.5795,0.5166,0.7150,0.4410,0.6724,0.6961,0.7007,0.4581,0.5062,0.5823,0.5183,0.5310,0.6200,0.5407,0.3816,0.5474,0.6490,0.4716,0.5546,0.5249,0.7409,0.5027,0.5937,0.6820,0.7459,0.5490,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.0351,0.0352,0.0298,0.0320,0.0342,0.0337,0.0351,0.0330,0.0375,0.0328,0.0324,0.0339,0.0336,0.0318,0.0304,0.0309,0.0305,0.0369,0.0331,0.0320,0.0362,0.0328,0.0351,0.0361,0.0355,0.0319,0.0330,0.0326,0.0322,0.0307
2026-03-06 13:46:36,2026021,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0312,0.0437,0.0312,0.0312,0.0437,0.0187,0.0312,0.0312,0.0437,0.0250,0.0250,0.0312,0.0250,0.0500,0.0312,0.0437,0.0312,0.0563,0.0125,0.0187,0.0375,0.0250,0.0437,0.0625,0.0312,0.0312,0.0250,0.0187,0.0375,0.0312,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.2727,0.2916,0.2502,0.2680,0.2632,0.2579,0.2685,0.2450,0.2609,0.2724,0.2722,0.2715,0.2618,0.2856,0.2591,0.2625,0.2813,0.2686,0.2584,0.2618,0.2652,0.2715,0.2547,0.2650,0.2729,0.2619,0.2731,0.2628,0.2781,0.2617,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.6106,0.7230,0.4881,0.5692,0.6467,0.6692,0.6641,0.4272,0.5731,0.6490,0.5959,0.4279,0.5939,0.7237,0.5675,0.5322,0.6406,0.5376,0.5882,0.6073,0.5853,0.6195,0.4050,0.4640,0.5760,0.7033,0.6814,0.6386,0.6918,0.6300,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.0336,0.0347,0.0300,0.0315,0.0331,0.0317,0.0358,0.0361,0.0361,0.0306,0.0315,0.0320,0.0330,0.0323,0.0341,0.0327,0.0325,0.0358,0.0341,0.0319,0.0362,0.0320,0.0344,0.0331,0.0354,0.0317,0.0321,0.0327,0.0343,0.0351
2026-03-06 13:46:36,2026022,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0312,0.0500,0.0437,0.0187,0.0500,0.0250,0.0437,0.0437,0.0187,0.0500,0.0312,0.0125,0.0312,0.0500,0.0437,0.0500,0.0312,0.0312,0.0187,0.0187,0.0437,0.0250,0.0375,0.0375,0.0250,0.0125,0.0312,0.0250,0.0375,0.0312,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.2744,0.2668,0.2542,0.2505,0.2536,0.2688,0.2601,0.2710,0.2673,0.2545,0.2731,0.2608,0.2684,0.2741,0.2707,0.2660,0.2775,0.2643,0.2541,0.2775,0.2832,0.2787,0.2839,0.2651,0.2626,0.2444,0.2614,0.2695,0.2711,0.2724,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.6394,0.5508,0.5067,0.4600,0.4924,0.6687,0.4776,0.5555,0.7243,0.5813,0.6262,0.3797,0.4546,0.5200,0.5724,0.5663,0.5627,0.5600,0.4710,0.6154,0.6737,0.6794,0.7569,0.5724,0.5496,0.4394,0.5498,0.3999,0.7582,0.6098,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.0355,0.0345,0.0303,0.0317,0.0325,0.0346,0.0331,0.0371,0.0356,0.0335,0.0327,0.0320,0.0301,0.0327,0.0308,0.0310,0.0327,0.0373,0.0325,0.0354,0.0363,0.0311,0.0377,0.0360,0.0358,0.0322,0.0330,0.0317,0.0322,0.0286
2026-03-06 13:46:36,2026023,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0437,0.0437,0.0437,0.0250,0.0312,0.0312,0.0187,0.0437,0.0437,0.0375,0.0187,0.0375,0.0187,0.0312,0.0437,0.0625,0.0437,0.0187,0.0437,0.0250,0.0312,0.0375,0.0437,0.0375,0.0312,0.0250,0.0125,0.0312,0.0187,0.0250,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.2716,0.2596,0.2685,0.2437,0.2724,0.2499,0.2649,0.2586,0.2775,0.2609,0.2852,0.2656,0.2589,0.2889,0.2585,0.2707,0.2839,0.2643,0.2696,0.2693,0.2679,0.2722,0.2915,0.2749,0.2490,0.2496,0.2653,0.2632,0.2685,0.2554,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.6274,0.5230,0.4832,0.4478,0.6868,0.4623,0.4838,0.3989,0.6697,0.5743,0.5999,0.4001,0.5125,0.5848,0.4621,0.6245,0.4930,0.6675,0.4529,0.6004,0.5592,0.5511,0.7282,0.6513,0.4307,0.3092,0.7117,0.5008,0.7208,0.5072,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.0344,0.0332,0.0313,0.0309,0.0355,0.0345,0.0345,0.0337,0.0355,0.0334,0.0319,0.0336,0.0322,0.0325,0.0312,0.0322,0.0306,0.0350,0.0306,0.0324,0.0354,0.0323,0.0361,0.0344,0.0362,0.0329,0.0362,0.0321,0.0340,0.0314
