Run_Time,Target_Period,Params_A,Prob_A_00,Prob_A_01,Prob_A_02,Prob_A_03,Prob_A_04,Prob_A_05,Prob_A_06,Prob_A_07,Prob_A_08,Prob_A_09,Params_B,Prob_B_00,Prob_B_01,Prob_B_02,Prob_B_03,Prob_B_04,Prob_B_05,Prob_B_06,Prob_B_07,Prob_B_08,Prob_B_09,Params_C,Prob_C_00,Prob_C_01,Prob_C_02,Prob_C_03,Prob_C_04,Prob_C_05,Prob_C_06,Prob_C_07,Prob_C_08,Prob_C_09,Params_D,Prob_D_00,Prob_D_01,Prob_D_02,Prob_D_03,Prob_D_04,Prob_D_05,Prob_D_06,Prob_D_07,Prob_D_08,Prob_D_09
2026-03-06 14:12:56,26014,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0750,0.1167,0.0667,0.0917,0.1167,0.1083,0.1083,0.1333,0.1167,0.0667,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.5116,0.4670,0.4655,0.4886,0.4524,0.5122,0.5114,0.4351,0.4665,0.4933,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.8437,0.5972,0.8148,0.8028,0.3350,0.8394,0.7843,0.6288,0.7836,0.7687,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.1006,0.1064,0.0940,0.0993,0.1022,0.0983,0.0998,0.0989,0.1009,0.0996
2026-03-06 14:12:56,26015,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0750,0.1083,0.0667,0.0917,0.1250,0.1000,0.1167,0.1417,0.1083,0.0667,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.4540,0.5118,0.5259,0.4719,0.4640,0.4854,0.4698,0.4339,0.4882,0.5002,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.6529,0.8612,0.9139,0.8115,0.6488,0.5807,0.6547,0.6466,0.8160,0.8551,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.0934,0.1087,0.1006,0.1043,0.0956,0.1006,0.0949,0.1016,0.1028,0.0976
2026-03-06 14:12:56,26016,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0750,0.1083,0.1167,0.0917,0.1000,0.0917,0.1250,0.1333,0.0667,0.0917,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.5356,0.4815,0.4875,0.4253,0.4707,0.4754,0.4390,0.4483,0.5451,0.4944,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.8654,0.6191,0.6366,0.6308,0.7466,0.6290,0.6677,0.8560,0.9131,0.5121,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.0877,0.1026,0.1001,0.1043,0.1022,0.1114,0.1031,0.0991,0.1017,0.0879
2026-03-06 14:12:56,26017,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0667,0.0833,0.0833,0.1000,0.1167,0.1167,0.1000,0.1417,0.1083,0.0833,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.5014,0.4665,0.4333,0.4772,0.4998,0.5240,0.4812,0.4369,0.4987,0.4802,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.8817,0.4878,0.7176,0.6395,0.7293,0.8721,0.7305,0.7933,0.8550,0.8340,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.1039,0.0999,0.0956,0.1020,0.1027,0.0913,0.0957,0.0961,0.1025,0.1104
2026-03-06 14:12:56,26018,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0583,0.1167,0.0917,0.1000,0.0833,0.1000,0.1083,0.1583,0.0833,0.1000,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.4574,0.4765,0.4965,0.4577,0.4784,0.5378,0.4744,0.4587,0.5219,0.4593,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.6565,0.8920,0.8272,0.7736,0.7957,0.8237,0.6838,0.6974,0.7559,0.7829,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.0947,0.1061,0.1063,0.0962,0.1016,0.1027,0.0955,0.1001,0.0975,0.0992
2026-03-06 14:12:56,26019,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0917,0.1167,0.0917,0.0833,0.0917,0.0917,0.1083,0.1500,0.0917,0.0833,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.4657,0.4514,0.4863,0.4887,0.4607,0.5361,0.4618,0.4606,0.5199,0.4787,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.8314,0.7569,0.7385,0.7918,0.6642,0.8827,0.5959,0.8293,0.8741,0.8659,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.0995,0.1032,0.0935,0.1033,0.1051,0.1016,0.0928,0.0975,0.1065,0.0970
2026-03-06 14:12:56,26020,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0667,0.1250,0.0667,0.0917,0.1250,0.1167,0.1000,0.1250,0.0917,0.0917,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.4599,0.4502,0.5409,0.4480,0.4624,0.5134,0.5106,0.4885,0.5123,0.4371,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.6519,0.6197,0.8453,0.6994,0.8212,0.9239,0.8137,0.8005,0.7617,0.7277,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.0881,0.1078,0.1155,0.1027,0.0983,0.0931,0.1007,0.0960,0.0965,0.1012
2026-03-06 14:12:56,26021,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0583,0.1083,0.1167,0.0917,0.1000,0.1167,0.1083,0.1250,0.0750,0.1000,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.5323,0.4229,0.4969,0.4415,0.4705,0.5052,0.4833,0.4368,0.5273,0.4737,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.9144,0.5098,0.8219,0.6864,0.8222,0.8116,0.6554,0.5972,0.7907,0.7924,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.1013,0.1069,0.0897,0.0989,0.1003,0.1035,0.0956,0.1017,0.0997,0.1025
2026-03-06 14:12:56,26022,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0917,0.1083,0.0917,0.0917,0.0917,0.0917,0.1167,0.1500,0.0917,0.0750,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.5172,0.4312,0.4735,0.4572,0.4268,0.5202,0.5381,0.4390,0.4956,0.5056,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.8960,0.6776,0.6962,0.6942,0.7814,0.8722,0.8775,0.4975,0.7667,0.9157,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.1085,0.1035,0.0843,0.0855,0.1149,0.0954,0.0981,0.1025,0.0971,0.1102
2026-03-06 14:12:56,26023,"{""search_limit"": 3000, ""top_matches"": 20, ""weights"": {""overlap"": 10, ""sum"": 0.1, ""ac"": 0.5, ""consecutive"": 2.0, ""neighbor"": 1.5, ""repeat"": 1.0, ""jump"": 0.5, ""omission"": 1.0}}",0.0750,0.1083,0.0750,0.1083,0.1083,0.1083,0.1000,0.1250,0.1000,0.0917,"{""n_estimators"": 1000, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": ""log2"", ""random_state"": 42, ""n_jobs"": -1}",0.4425,0.4563,0.4780,0.4830,0.4453,0.5343,0.5039,0.4867,0.5011,0.4566,"{""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.02, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0.1, ""scale_pos_weight"": 5, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.6237,0.6629,0.6000,0.8968,0.5202,0.8970,0.8798,0.8279,0.8452,0.6538,"{""embedding_dim"": 16, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5, ""lr"": 0.001, ""epochs"": 50}",0.0957,0.1019,0.0940,0.1039,0.1038,0.1032,0.0967,0.1004,0.1064,0.0939
