issue,openTime,frontWinningNum,backWinningNum,seqFrontWinningNum,seqBackWinningNum,saleMoney,r9SaleMoney,prizePoolMoney,fixPoolMoney,week,tryCode,djEndTime,awardEndDesc,specialNotes,fixUBound,floatBound,winnerDetails,红球1,红球2,红球3,红球4,红球5,直选注数,直选奖金,奇数,偶数,小号,大号,一区,二区,三区,和值,跨度,重号,邻号,孤号,AC,二连,二跳,三跳,四连,三连,五连,四跳,五跳
26045,2026-02-24,1 4 4 7 1,,1 4 4 7 1,,26316714.0,,347538501.3,,星期二,,2026-04-27,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '190', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",1,4,4,7,1,190.0,100000.0,3,2,4,1,2,2,1,17.0,6.0,1.0,5.0,-1.0,-2.0,0,0,0,0,0,0,0,0
26044,2026-02-13,0 5 1 6 2,,0 5 1 6 2,,32742140.0,,353643311.44,,星期五,,2026-04-15,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '140', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",0,5,1,6,2,140.0,100000.0,2,3,3,2,3,2,0,14.0,6.0,2.0,4.0,-1.0,2.0,1,0,0,0,1,0,0,0
26043,2026-02-12,1 7 9 2 7,,1 7 9 2 7,,28164038.0,,351599662.84,,星期四,,2026-04-14,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '90', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",1,7,9,2,7,90.0,100000.0,4,1,2,3,2,0,3,26.0,8.0,3.0,1.0,1.0,2.0,1,1,0,0,0,0,0,0
26042,2026-02-11,7 9 5 2 4,,7 9 5 2 4,,25456518.0,,346799284.22,,星期三,,2026-04-14,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '108', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",7,9,5,2,4,108.0,100000.0,3,2,2,3,1,2,2,27.0,7.0,2.0,4.0,-1.0,2.0,1,1,1,0,0,0,0,0
26041,2026-02-10,6 3 9 6 5,,6 3 9 6 5,,24678190.0,,345125590.4,,星期二,,2026-04-14,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '161', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",6,3,9,6,5,161.0,100000.0,3,2,1,4,1,3,1,29.0,6.0,1.0,2.0,2.0,1.0,1,1,0,0,0,0,0,0
26040,2026-02-09,0 0 9 7 9,,0 0 9 7 9,,25320096.0,,349133277.3,,星期一,,2026-04-13,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '123', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",0,0,9,7,9,123.0,100000.0,3,2,2,3,2,0,3,25.0,9.0,0.0,3.0,2.0,-1.0,0,1,0,0,0,0,0,0
26039,2026-02-08,8 5 2 8 8,,8 5 2 8 8,,24448110.0,,349026430.26,,星期日,,2026-04-10,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '172', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",8,5,2,8,8,172.0,100000.0,1,4,1,4,1,1,3,31.0,6.0,1.0,3.0,1.0,-2.0,0,0,1,0,0,0,0,0
26038,2026-02-07,7 8 9 8 7,,7 8 9 8 7,,23626294.0,,354246856.36,,星期六,,2026-04-09,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '385', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",7,8,9,8,7,385.0,100000.0,3,2,0,5,0,0,5,39.0,2.0,1.0,2.0,2.0,-2.0,2,0,0,0,0,0,0,0
26037,2026-02-06,7 2 4 5 2,,7 2 4 5 2,,26874084.0,,381169972.3,,星期五,,2026-04-08,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '115', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",7,2,4,5,2,115.0,100000.0,2,3,3,2,2,2,1,20.0,5.0,3.0,2.0,0.0,0.0,1,2,0,0,0,0,0,0
26036,2026-02-05,7 8 8 2 4,,7 8 8 2 4,,25656786.0,,379501671.14,,星期四,,2026-04-08,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '56', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",7,8,8,2,4,56.0,100000.0,1,4,2,3,1,1,3,29.0,6.0,2.0,3.0,0.0,2.0,1,1,0,0,0,0,0,0
26035,2026-02-04,7 1 7 0 4,,7 1 7 0 4,,25265864.0,,372529846.0,,星期三,,2026-04-08,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '105', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",7,1,7,0,4,105.0,100000.0,3,2,3,2,2,1,2,19.0,7.0,1.0,4.0,0.0,1.0,1,0,1,0,0,0,0,0
26034,2026-02-03,2 1 6 9 9,,2 1 6 9 9,,24391564.0,,370649572.64,,星期二,,2026-04-08,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '159', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",2,1,6,9,9,159.0,100000.0,3,2,2,3,2,1,2,27.0,8.0,2.0,2.0,1.0,2.0,1,0,0,0,0,0,0,0
26033,2026-02-02,1 4 1 3 2,,1 4 1 3 2,,24304020.0,,374597706.28,,星期一,,2026-04-07,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '91', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",1,4,1,3,2,91.0,100000.0,3,2,5,0,4,1,0,11.0,3.0,1.0,4.0,0.0,-1.0,0,0,0,1,0,0,0,0
26032,2026-02-01,7 3 0 7 8,,7 3 0 7 8,,23992342.0,,371788736.48,,星期日,,2026-04-03,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '40', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",7,3,0,7,8,40.0,100000.0,3,2,2,3,2,0,3,25.0,8.0,2.0,3.0,0.0,2.0,1,0,0,0,0,0,0,0
26031,2026-01-31,7 8 6 9 6,,7 8 6 9 6,,24477690.0,,364032488.9,,星期六,,2026-04-02,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '82', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",7,8,6,9,6,82.0,100000.0,2,3,0,5,0,2,3,36.0,3.0,1.0,4.0,0.0,-1.0,0,0,0,1,0,0,0,0
26030,2026-01-30,8 1 1 5 2,,8 1 1 5 2,,26813544.0,,360238420.8,,星期五,,2026-04-01,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '285', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",8,1,1,5,2,285.0,100000.0,3,2,3,2,3,1,1,17.0,7.0,2.0,3.0,0.0,1.0,1,0,1,0,0,0,0,0
26029,2026-01-29,6 1 3 7 8,,6 1 3 7 8,,25120906.0,,375599784.24,,星期四,,2026-03-31,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '177', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",6,1,3,7,8,177.0,100000.0,3,2,2,3,2,1,2,25.0,7.0,0.0,3.0,2.0,3.0,0,1,0,0,1,0,0,0
26028,2026-01-28,4 9 9 9 5,,4 9 9 9 5,,24400024.0,,380990540.3,,星期三,,2026-03-31,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '244', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",4,9,9,9,5,244.0,100000.0,4,1,1,4,0,2,3,36.0,5.0,1.0,4.0,0.0,-1.0,1,0,0,0,0,0,0,0
26027,2026-01-27,0 8 4 0 7,,0 8 4 0 7,,24604390.0,,393434528.54,,星期二,,2026-03-31,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '73', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",0,8,4,0,7,73.0,100000.0,1,4,3,2,2,1,2,19.0,8.0,1.0,3.0,1.0,1.0,1,0,0,0,0,0,0,0
26026,2026-01-26,2 9 1 4 4,,2 9 1 4 4,,23921654.0,,388678377.44,,星期一,,2026-03-30,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '直选', 'awardNum': '55', 'awardMoney': '100000', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",2,9,1,4,4,55.0,100000.0,2,3,4,1,2,2,1,20.0,8.0,1.0,2.0,2.0,2.0,1,1,0,0,0,0,0,0
