issue,openTime,frontWinningNum,backWinningNum,seqFrontWinningNum,seqBackWinningNum,saleMoney,r9SaleMoney,prizePoolMoney,fixPoolMoney,week,tryCode,djEndTime,awardEndDesc,specialNotes,fixUBound,floatBound,winnerDetails,红球1,红球2,红球3,单选注数,单选奖金,组三注数,组三奖金,组六注数,组六奖金,奇数,偶数,大号,小号,一区,二区,三区,二连,三连,二跳,三跳,重号,邻号,孤号,和值,AC,跨度
2026229,2026-08-27,8 2 8,,8 2 8,,104741902.0,,,,星期四,331.0,-,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '单选', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '组三', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '组六', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",8,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0,3,2,1,1,0,2,0,0,0,0,0.0,3.0,0.0,18.0,-1.0,6.0
2026228,2026-08-26,3 9 9,,3 9 9,,107058866.0,,,,星期三,648.0,-,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '单选', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '组三', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '组六', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",3,9,9,0.0,0.0,0.0,0.0,0.0,0.0,3,0,2,1,1,0,2,0,0,0,0,0.0,1.0,2.0,21.0,-1.0,6.0
2026227,2026-08-25,5 2 2,,5 2 2,,104266778.0,,,,星期二,813.0,-,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '单选', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '组三', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '组六', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,2,2,1,0,0,0,0,0,1.0,2.0,0.0,9.0,-1.0,3.0
2026226,2026-08-24,8 5 1,,8 5 1,,99249730.0,,,,星期一,143.0,-,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '单选', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '组三', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '组六', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",8,5,1,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,1,1,1,1,0,0,0,0,1.0,0.0,2.0,14.0,1.0,7.0
2026225,2026-08-23,5 5 5,,5 5 5,,107577374.0,,,,星期日,882.0,-,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '单选', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '组三', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '组六', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,3,0,3,0,0,3,0,0,0,0,0,0.0,3.0,0.0,15.0,-2.0,0.0
2026224,2026-08-22,8 6 2,,8 6 2,,104875148.0,,,,星期六,455.0,-,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '单选', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '组三', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '组六', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",8,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0,3,2,1,1,1,1,0,0,1,0,1.0,1.0,1.0,16.0,1.0,6.0
2026223,2026-08-21,9 4 8,,9 4 8,,109896280.0,,,,星期五,791.0,-,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '单选', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '组三', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '组六', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",9,4,8,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,1,0,1,2,1,0,0,0,1.0,2.0,0.0,21.0,1.0,5.0
2026222,2026-08-20,3 8 0,,3 8 0,,107512234.0,,,,星期四,944.0,-,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '单选', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '组三', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '组六', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",3,8,0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,2,2,0,1,0,0,0,0,0.0,2.0,1.0,11.0,1.0,8.0
2026221,2026-08-19,2 9 6,,2 9 6,,105700632.0,,,,星期三,828.0,-,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '单选', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '组三', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '组六', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",2,9,6,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,1,1,1,1,0,0,0,0,0.0,2.0,1.0,17.0,1.0,7.0
2026220,2026-08-18,3 7 3,,3 7 3,,106804902.0,,,,星期二,461.0,-,-,,,,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '单选', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '组三', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '组六', 'awardNum': '', 'awardMoney': '', 'totalMoney': ''}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",3,7,3,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,2,2,0,1,0,0,0,0,0.0,2.0,1.0,13.0,-1.0,4.0
