issue,openTime,frontWinningNum,backWinningNum,seqFrontWinningNum,seqBackWinningNum,saleMoney,r9SaleMoney,prizePoolMoney,week,winnerDetails
25028,2025-03-17,06 08 20 25 29,03 07,06 29 25 08 20,07 03,313737340,,1006966152.1,星期一,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '基本', 'awardNum': '7', 'awardMoney': '8904156', 'totalMoney': '62329092'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '4', 'awardMoney': '7123324', 'totalMoney': '28493296'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '基本', 'awardNum': '103', 'awardMoney': '127524', 'totalMoney': '13134972'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '43', 'awardMoney': '102019', 'totalMoney': '4386817'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '三等奖', 'awardNum': '221', 'awardMoney': '10000', 'totalMoney': '2210000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '4', 'baseBetWinner': {'remark': '四等奖', 'awardNum': '969', 'awardMoney': '3000', 'totalMoney': '2907000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '5', 'baseBetWinner': {'remark': '五等奖', 'awardNum': '19622', 'awardMoney': '300', 'totalMoney': '5886600'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '6', 'baseBetWinner': {'remark': '六等奖', 'awardNum': '29414', 'awardMoney': '200', 'totalMoney': '5882800'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '7', 'baseBetWinner': {'remark': '七等奖', 'awardNum': '38288', 'awardMoney': '100', 'totalMoney': '3828800'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '8', 'baseBetWinner': {'remark': '八等奖', 'awardNum': '823182', 'awardMoney': '15', 'totalMoney': '12347730'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '9', 'baseBetWinner': {'remark': '九等奖', 'awardNum': '8204713', 'awardMoney': '5', 'totalMoney': '41023565'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]"
25027,2025-03-15,03 06 11 13 20,01 11,20 11 06 13 03,11 01,333487900,,1035665607.65,星期六,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '基本', 'awardNum': '8', 'awardMoney': '10000000', 'totalMoney': '80000000'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '0', 'awardMoney': '0', 'totalMoney': '0'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '基本', 'awardNum': '117', 'awardMoney': '151904', 'totalMoney': '17772768'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '31', 'awardMoney': '121523', 'totalMoney': '3767213'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '三等奖', 'awardNum': '241', 'awardMoney': '10000', 'totalMoney': '2410000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '4', 'baseBetWinner': {'remark': '四等奖', 'awardNum': '655', 'awardMoney': '3000', 'totalMoney': '1965000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '5', 'baseBetWinner': {'remark': '五等奖', 'awardNum': '17246', 'awardMoney': '300', 'totalMoney': '5173800'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '6', 'baseBetWinner': {'remark': '六等奖', 'awardNum': '19849', 'awardMoney': '200', 'totalMoney': '3969800'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '7', 'baseBetWinner': {'remark': '七等奖', 'awardNum': '42015', 'awardMoney': '100', 'totalMoney': '4201500'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '8', 'baseBetWinner': {'remark': '八等奖', 'awardNum': '708335', 'awardMoney': '15', 'totalMoney': '10625025'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '9', 'baseBetWinner': {'remark': '九等奖', 'awardNum': '7430971', 'awardMoney': '5', 'totalMoney': '37154855'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]"
25026,2025-03-12,02 03 07 17 30,01 09,30 03 07 17 02,09 01,313696373,,1039296516.67,星期三,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '基本', 'awardNum': '1', 'awardMoney': '10000000', 'totalMoney': '10000000'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '0', 'awardMoney': '0', 'totalMoney': '0'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '基本', 'awardNum': '80', 'awardMoney': '161515', 'totalMoney': '12921200'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '21', 'awardMoney': '129212', 'totalMoney': '2713452'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '三等奖', 'awardNum': '194', 'awardMoney': '10000', 'totalMoney': '1940000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '4', 'baseBetWinner': {'remark': '四等奖', 'awardNum': '922', 'awardMoney': '3000', 'totalMoney': '2766000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '5', 'baseBetWinner': {'remark': '五等奖', 'awardNum': '20755', 'awardMoney': '300', 'totalMoney': '6226500'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '6', 'baseBetWinner': {'remark': '六等奖', 'awardNum': '33244', 'awardMoney': '200', 'totalMoney': '6648800'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '7', 'baseBetWinner': {'remark': '七等奖', 'awardNum': '43895', 'awardMoney': '100', 'totalMoney': '4389500'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '8', 'baseBetWinner': {'remark': '八等奖', 'awardNum': '923286', 'awardMoney': '15', 'totalMoney': '13849290'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '9', 'baseBetWinner': {'remark': '九等奖', 'awardNum': '9364895', 'awardMoney': '5', 'totalMoney': '46824475'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]"
25025,2025-03-10,03 06 08 10 25,03 07,03 25 06 10 08,03 07,313678335,,993864523.61,星期一,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '基本', 'awardNum': '7', 'awardMoney': '7559158', 'totalMoney': '52914106'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '6', 'awardMoney': '6047326', 'totalMoney': '36283956'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '基本', 'awardNum': '137', 'awardMoney': '75409', 'totalMoney': '10331033'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '49', 'awardMoney': '60327', 'totalMoney': '2956023'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '三等奖', 'awardNum': '297', 'awardMoney': '10000', 'totalMoney': '2970000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '4', 'baseBetWinner': {'remark': '四等奖', 'awardNum': '1209', 'awardMoney': '3000', 'totalMoney': '3627000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '5', 'baseBetWinner': {'remark': '五等奖', 'awardNum': '24376', 'awardMoney': '300', 'totalMoney': '7312800'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '6', 'baseBetWinner': {'remark': '六等奖', 'awardNum': '39660', 'awardMoney': '200', 'totalMoney': '7932000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '7', 'baseBetWinner': {'remark': '七等奖', 'awardNum': '43899', 'awardMoney': '100', 'totalMoney': '4389900'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '8', 'baseBetWinner': {'remark': '八等奖', 'awardNum': '1076218', 'awardMoney': '15', 'totalMoney': '16143270'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '9', 'baseBetWinner': {'remark': '九等奖', 'awardNum': '10186254', 'awardMoney': '5', 'totalMoney': '50931270'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]"
25024,2025-03-08,06 12 13 16 23,05 08,12 06 13 23 16,08 05,331854703,,1035953603.25,星期六,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '基本', 'awardNum': '14', 'awardMoney': '6364847', 'totalMoney': '89107858'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '6', 'awardMoney': '5091877', 'totalMoney': '30551262'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '基本', 'awardNum': '132', 'awardMoney': '65034', 'totalMoney': '8584488'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '52', 'awardMoney': '52027', 'totalMoney': '2705404'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '三等奖', 'awardNum': '250', 'awardMoney': '10000', 'totalMoney': '2500000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '4', 'baseBetWinner': {'remark': '四等奖', 'awardNum': '2202', 'awardMoney': '3000', 'totalMoney': '6606000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '5', 'baseBetWinner': {'remark': '五等奖', 'awardNum': '22378', 'awardMoney': '300', 'totalMoney': '6713400'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '6', 'baseBetWinner': {'remark': '六等奖', 'awardNum': '63816', 'awardMoney': '200', 'totalMoney': '12763200'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '7', 'baseBetWinner': {'remark': '七等奖', 'awardNum': '39960', 'awardMoney': '100', 'totalMoney': '3996000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '8', 'baseBetWinner': {'remark': '八等奖', 'awardNum': '1335224', 'awardMoney': '15', 'totalMoney': '20028360'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '9', 'baseBetWinner': {'remark': '九等奖', 'awardNum': '11736712', 'awardMoney': '5', 'totalMoney': '58683560'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]"
25023,2025-03-05,10 20 22 24 25,09 12,24 20 25 10 22,12 09,302766777,,1115584483.6,星期三,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '基本', 'awardNum': '4', 'awardMoney': '10000000', 'totalMoney': '40000000'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '2', 'awardMoney': '8000000', 'totalMoney': '16000000'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '基本', 'awardNum': '93', 'awardMoney': '178006', 'totalMoney': '16554558'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '19', 'awardMoney': '142404', 'totalMoney': '2705676'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '三等奖', 'awardNum': '302', 'awardMoney': '10000', 'totalMoney': '3020000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '4', 'baseBetWinner': {'remark': '四等奖', 'awardNum': '520', 'awardMoney': '3000', 'totalMoney': '1560000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '5', 'baseBetWinner': {'remark': '五等奖', 'awardNum': '14468', 'awardMoney': '300', 'totalMoney': '4340400'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '6', 'baseBetWinner': {'remark': '六等奖', 'awardNum': '20483', 'awardMoney': '200', 'totalMoney': '4096600'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '7', 'baseBetWinner': {'remark': '七等奖', 'awardNum': '36548', 'awardMoney': '100', 'totalMoney': '3654800'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '8', 'baseBetWinner': {'remark': '八等奖', 'awardNum': '642547', 'awardMoney': '15', 'totalMoney': '9638205'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '9', 'baseBetWinner': {'remark': '九等奖', 'awardNum': '6899798', 'awardMoney': '5', 'totalMoney': '34498990'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]"
25022,2025-03-03,01 11 13 27 29,04 10,11 29 13 01 27,10 04,298217183,,1103298037.53,星期一,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '基本', 'awardNum': '7', 'awardMoney': '9280845', 'totalMoney': '64965915'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '1', 'awardMoney': '7424676', 'totalMoney': '7424676'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '基本', 'awardNum': '102', 'awardMoney': '115866', 'totalMoney': '11818332'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '31', 'awardMoney': '92692', 'totalMoney': '2873452'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '三等奖', 'awardNum': '179', 'awardMoney': '10000', 'totalMoney': '1790000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '4', 'baseBetWinner': {'remark': '四等奖', 'awardNum': '1053', 'awardMoney': '3000', 'totalMoney': '3159000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '5', 'baseBetWinner': {'remark': '五等奖', 'awardNum': '18491', 'awardMoney': '300', 'totalMoney': '5547300'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '6', 'baseBetWinner': {'remark': '六等奖', 'awardNum': '37254', 'awardMoney': '200', 'totalMoney': '7450800'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '7', 'baseBetWinner': {'remark': '七等奖', 'awardNum': '35577', 'awardMoney': '100', 'totalMoney': '3557700'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '8', 'baseBetWinner': {'remark': '八等奖', 'awardNum': '911895', 'awardMoney': '15', 'totalMoney': '13678425'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '9', 'baseBetWinner': {'remark': '九等奖', 'awardNum': '8832400', 'awardMoney': '5', 'totalMoney': '44162000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]"
25021,2025-03-01,10 18 25 30 35,03 12,25 10 35 30 18,12 03,335200766,,1123599303.02,星期六,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '基本', 'awardNum': '7', 'awardMoney': '10000000', 'totalMoney': '70000000'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '0', 'awardMoney': '0', 'totalMoney': '0'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '基本', 'awardNum': '115', 'awardMoney': '117927', 'totalMoney': '13561605'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '39', 'awardMoney': '94341', 'totalMoney': '3679299'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '三等奖', 'awardNum': '275', 'awardMoney': '10000', 'totalMoney': '2750000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '4', 'baseBetWinner': {'remark': '四等奖', 'awardNum': '1311', 'awardMoney': '3000', 'totalMoney': '3933000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '5', 'baseBetWinner': {'remark': '五等奖', 'awardNum': '23745', 'awardMoney': '300', 'totalMoney': '7123500'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '6', 'baseBetWinner': {'remark': '六等奖', 'awardNum': '34904', 'awardMoney': '200', 'totalMoney': '6980800'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '7', 'baseBetWinner': {'remark': '七等奖', 'awardNum': '48410', 'awardMoney': '100', 'totalMoney': '4841000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '8', 'baseBetWinner': {'remark': '八等奖', 'awardNum': '958137', 'awardMoney': '15', 'totalMoney': '14372055'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '9', 'baseBetWinner': {'remark': '九等奖', 'awardNum': '9175909', 'awardMoney': '5', 'totalMoney': '45879545'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]"
25020,2025-02-26,01 09 12 22 29,05 09,01 22 09 29 12,09 05,300087089,,1132471892.25,星期三,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '基本', 'awardNum': '8', 'awardMoney': '8494966', 'totalMoney': '67959728'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '1', 'awardMoney': '6795972', 'totalMoney': '6795972'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '基本', 'awardNum': '146', 'awardMoney': '67527', 'totalMoney': '9858942'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '68', 'awardMoney': '54021', 'totalMoney': '3673428'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '三等奖', 'awardNum': '239', 'awardMoney': '10000', 'totalMoney': '2390000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '4', 'baseBetWinner': {'remark': '四等奖', 'awardNum': '1235', 'awardMoney': '3000', 'totalMoney': '3705000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '5', 'baseBetWinner': {'remark': '五等奖', 'awardNum': '21845', 'awardMoney': '300', 'totalMoney': '6553500'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '6', 'baseBetWinner': {'remark': '六等奖', 'awardNum': '37699', 'awardMoney': '200', 'totalMoney': '7539800'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '7', 'baseBetWinner': {'remark': '七等奖', 'awardNum': '40685', 'awardMoney': '100', 'totalMoney': '4068500'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '8', 'baseBetWinner': {'remark': '八等奖', 'awardNum': '961185', 'awardMoney': '15', 'totalMoney': '14417775'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '9', 'baseBetWinner': {'remark': '九等奖', 'awardNum': '9371339', 'awardMoney': '5', 'totalMoney': '46856695'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]"
25019,2025-02-24,07 08 11 18 23,03 11,07 08 11 18 23,03 11,296357549,,1159248699.24,星期一,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '基本', 'awardNum': '7', 'awardMoney': '8207321', 'totalMoney': '57451247'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '4', 'awardMoney': '6565856', 'totalMoney': '26263424'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '基本', 'awardNum': '199', 'awardMoney': '56096', 'totalMoney': '11163104'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '72', 'awardMoney': '44876', 'totalMoney': '3231072'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '三等奖', 'awardNum': '277', 'awardMoney': '10000', 'totalMoney': '2770000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '4', 'baseBetWinner': {'remark': '四等奖', 'awardNum': '947', 'awardMoney': '3000', 'totalMoney': '2841000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '5', 'baseBetWinner': {'remark': '五等奖', 'awardNum': '22484', 'awardMoney': '300', 'totalMoney': '6745200'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '6', 'baseBetWinner': {'remark': '六等奖', 'awardNum': '27972', 'awardMoney': '200', 'totalMoney': '5594400'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '7', 'baseBetWinner': {'remark': '七等奖', 'awardNum': '53438', 'awardMoney': '100', 'totalMoney': '5343800'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '8', 'baseBetWinner': {'remark': '八等奖', 'awardNum': '904236', 'awardMoney': '15', 'totalMoney': '13563540'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '9', 'baseBetWinner': {'remark': '九等奖', 'awardNum': '8585582', 'awardMoney': '5', 'totalMoney': '42927910'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]"
