issue,openTime,pool_full_size,pool_size_drop0,cover_full_drop0,hit_drop0_top15,hit_drop0_top20,hit_drop0_top25,hit_drop0_top30,hit_drop0_top40,pool_size_drop10,cover_full_drop10,hit_drop10_top15,hit_drop10_top20,hit_drop10_top25,hit_drop10_top30,hit_drop10_top40,pool_size_drop20,cover_full_drop20,hit_drop20_top15,hit_drop20_top20,hit_drop20_top25,hit_drop20_top30,hit_drop20_top40,pool_size_drop30,cover_full_drop30,hit_drop30_top15,hit_drop30_top20,hit_drop30_top25,hit_drop30_top30,hit_drop30_top40,pool_size_drop40,cover_full_drop40,hit_drop40_top15,hit_drop40_top20,hit_drop40_top25,hit_drop40_top30,hit_drop40_top40,pool_size_drop50,cover_full_drop50,hit_drop50_top15,hit_drop50_top20,hit_drop50_top25,hit_drop50_top30,hit_drop50_top40
2020004,2020-10-31,69,69,17,3,6,7,7,9,59,14,3,6,7,7,9,49,12,3,6,7,7,10,39,9,3,6,7,7,9,29,8,3,6,7,8,8,19,3,3,3,3,3,3
2020005,2020-11-01,68,68,15,3,4,5,7,8,58,12,3,4,5,7,8,48,10,3,4,5,7,8,38,8,3,4,5,7,8,28,5,3,4,5,5,5,18,4,3,4,4,4,4
2020006,2020-11-02,68,68,17,4,7,9,9,14,58,15,4,7,9,9,14,48,15,4,7,9,9,14,38,12,4,7,9,9,12,28,11,4,7,10,11,11,18,8,7,8,8,8,8
2020007,2020-11-03,64,64,16,4,6,7,7,11,54,14,4,6,7,7,11,44,11,4,6,7,7,11,34,9,4,6,7,8,9,24,5,4,4,5,5,5,14,3,3,3,3,3,3
2020008,2020-11-04,66,66,15,4,6,9,9,10,56,12,4,6,9,9,10,46,10,4,6,9,9,10,36,9,4,6,9,9,9,26,7,4,6,7,7,7,16,6,5,6,6,6,6
2020009,2020-11-05,64,64,15,5,6,7,8,11,54,12,5,6,7,8,11,44,11,5,6,7,8,11,34,10,5,6,7,8,10,24,8,5,6,8,8,8,14,3,3,3,3,3,3
2020010,2020-11-06,64,64,15,2,2,4,5,7,54,14,2,2,4,5,7,44,9,2,2,4,5,7,34,5,2,2,4,5,5,24,4,2,4,4,4,4,14,2,2,2,2,2,2
2020011,2020-11-07,69,69,20,5,6,6,8,9,59,15,5,6,6,8,9,49,12,5,6,6,8,9,39,8,5,6,6,8,8,29,6,5,6,6,6,6,19,6,6,6,6,6,6
2020012,2020-11-08,69,69,17,5,5,6,6,9,59,13,5,5,6,6,9,49,12,5,5,6,6,9,39,8,5,5,6,6,8,29,6,5,5,6,6,6,19,5,4,5,5,5,5
2020013,2020-11-09,67,67,17,2,5,6,7,9,57,13,2,5,6,7,9,47,11,2,5,6,7,9,37,8,2,5,6,7,8,27,6,2,5,6,6,6,17,5,4,5,5,5,5
2020014,2020-11-10,67,67,17,5,6,9,9,12,57,14,5,6,9,9,12,47,13,5,6,9,9,12,37,10,5,6,9,9,10,27,9,5,6,9,9,9,17,7,6,7,7,7,7
2020015,2020-11-11,67,67,15,2,4,6,7,7,57,11,2,4,6,7,7,47,8,2,4,6,7,7,37,7,2,4,6,7,7,27,5,2,4,5,5,5,17,3,2,3,3,3,3
2020016,2020-11-12,68,68,18,3,4,5,6,8,58,14,3,4,5,6,8,48,10,3,4,5,6,8,38,8,3,4,5,6,8,28,4,3,4,4,4,4,18,3,3,3,3,3,3
2020017,2020-11-13,70,70,15,2,3,4,5,7,60,13,2,3,4,5,7,50,9,2,3,4,5,7,40,8,2,3,4,5,8,30,4,2,3,4,4,4,20,3,2,3,3,3,3
2020018,2020-11-14,69,69,16,3,3,5,6,8,59,14,3,3,5,6,8,49,10,3,3,5,6,8,39,8,3,3,5,6,8,29,6,3,3,4,6,6,19,2,1,2,2,2,2
2020019,2020-11-15,69,69,17,3,4,5,6,9,59,14,3,4,5,6,9,49,11,3,4,5,6,9,39,9,3,4,5,6,9,29,8,3,4,5,8,8,19,4,3,4,4,4,4
2020020,2020-11-16,68,68,15,4,5,6,6,7,58,12,4,5,6,6,7,48,10,4,5,6,6,7,38,9,4,5,6,6,9,28,7,4,5,6,7,7,18,5,4,5,5,5,5
2020021,2020-11-17,66,66,15,1,1,1,2,4,56,13,1,1,1,2,4,46,8,1,1,1,2,4,36,2,1,1,1,2,2,26,2,1,1,2,2,2,16,1,1,1,1,1,1
